# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44770 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44786 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44774 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44766 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60728 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60738 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60752 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60726 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56978 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56992 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57000 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56976 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43860 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43878 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43888 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43862 - "GET /analytics/summary HTTP/1.1" 200 OK
